"session","player","stage.round","contribution","payoff"
"room000012","462238142718412",1,12,30
"room000012","721990403509344",1,6,36
"room000012","251202588591029",1,6,36
"room000012","947723407018660",1,20,22
"room000012","462238142718412",2,5,34.5
"room000012","251202588591029",2,12,27.5
"room000012","721990403509344",2,2,37.5
"room000012","947723407018660",2,20,19.5
"room000012","462238142718412",3,7,32
"room000012","251202588591029",3,11,28
"room000012","721990403509344",3,0,39
"room000012","947723407018660",3,20,19
"room000012","721990403509344",4,7,37
"room000012","251202588591029",4,12,32
"room000012","462238142718412",4,9,35
"room000012","947723407018660",4,20,24
