"session","player","stage.round","contribution","payoff"
"room000028","689901020535511",1,3,36.5
"room000028","373112540246726",1,8,31.5
"room000028","666274300300082",1,8,31.5
"room000028","336501101218392",1,20,19.5
"room000028","689901020535511",2,16,33.5
"room000028","373112540246726",2,11,38.5
"room000028","336501101218392",2,20,29.5
"room000028","666274300300082",2,12,37.5
"room000028","689901020535511",3,12,36
"room000028","373112540246726",3,10,38
"room000028","336501101218392",3,20,28
"room000028","666274300300082",3,14,34
"room000028","689901020535511",4,12,33
"room000028","666274300300082",4,6,39
"room000028","373112540246726",4,12,33
"room000028","336501101218392",4,20,25
