"session","treatment","player","stage","step","round","stageId","stepId","timestamp","time"
"room000001","standard","840393366852621",1,1,1,"consent","consent",1642516294998,5111
"room000001","standard","840393366852621",2,1,1,"instructions","instructions",1642516298255,2748
