"session","treatment","player","stage","step","timestamp","time","timeup"
"room000023","pgg_bars","339914495225541","consent","consent",1642609704185,11086,0
"room000023","pgg_bars","339914495225541","instructions","instructions",1642609712845,8193,0
"room000023","pgg_bars","339914495225541","demographics","demographics",1642609761680,48544,0
