"session","treatment","player","stage","step","round","stageId","stepId","timestamp","time"
"room000010","pgg","627384207039595",1,1,1,"consent","consent",1642589491295,2714
"room000010","pgg","627384207039595",2,1,1,"instructions","instructions",1642589494913,3122
"room000010","pgg","627384207039595",3,1,1,"surveydone","surveydone",1642589501963,6757
"room000010","pgg","947723407018660",1,1,1,"consent","consent",1642589560147,5456
"room000010","pgg","947723407018660",2,1,1,"instructions","instructions",1642589562470,1777
"room000010","pgg","947723407018660",3,1,1,"surveydone","surveydone",1642589564903,2194
