"session","player","stage.round","contribution","payoff"
"room000022","809080964140079",1,5,33
"room000022","762826334133094",1,6,32
"room000022","794785024111367",1,16,22
"room000022","459966884407809",1,9,29
"room000022","459966884407809",2,13,22
"room000022","794785024111367",2,1,34
"room000022","809080964140079",2,1,34
"room000022","762826334133094",2,15,20
"room000022","459966884407809",3,11,17
"room000022","794785024111367",3,0,28
"room000022","809080964140079",3,4,24
"room000022","762826334133094",3,1,27
"room000022","459966884407809",4,3,32.5
"room000022","809080964140079",4,17,18.5
"room000022","794785024111367",4,10,25.5
"room000022","762826334133094",4,1,34.5
